Wavelength(nm),Transmission(%)
1314.0,0.934665
1315.0,0.934666
1316.0,0.934668
1317.0,0.934669
1318.0,0.93467
1319.0,0.934671
1320.0,0.934673
1321.0,0.934674
1322.0,0.934675
1323.0,0.934676
1324.0,0.934678
1325.0,0.934679
1326.0,0.93468
1327.0,0.934681
1328.0,0.934682
1329.0,0.934684
1330.0,0.934685
1331.0,0.934686
1332.0,0.934687
1333.0,0.934689
1334.0,0.93469
1335.0,0.934691
1336.0,0.934692
1337.0,0.934693
1338.0,0.934695
1339.0,0.934696
1340.0,0.934697
1341.0,0.934698
1342.0,0.934699
1343.0,0.934701
1344.0,0.934702
1345.0,0.934703
1346.0,0.934704
1347.0,0.934705
1348.0,0.934706
1349.0,0.934708
1350.0,0.934709
1351.0,0.93471
1352.0,0.934711
1353.0,0.934712
1354.0,0.934713
1355.0,0.934715
1356.0,0.934716
1357.0,0.934717
1358.0,0.934718
1359.0,0.934719
1360.0,0.93472
1361.0,0.934722
1362.0,0.934723
1363.0,0.934724
1364.0,0.934725
1365.0,0.934726
1366.0,0.934727
1367.0,0.934728
1368.0,0.934729
1369.0,0.934731
1370.0,0.934732
1371.0,0.934733
1372.0,0.934734
1373.0,0.934735
1374.0,0.934736
1375.0,0.934737
1376.0,0.934738
1377.0,0.934739
1378.0,0.934741
1379.0,0.934742
1380.0,0.934743
1381.0,0.934744
1382.0,0.934745
1383.0,0.934746
1384.0,0.934747
1385.0,0.934748
1386.0,0.934749
1387.0,0.93475
1388.0,0.934751
1389.0,0.934753
1390.0,0.934754
1391.0,0.934755
1392.0,0.934756
1393.0,0.934757
1394.0,0.934758
1395.0,0.934759
1396.0,0.93476
1397.0,0.934761
1398.0,0.934762
1399.0,0.934763
1400.0,0.934764
1401.0,0.934765
1402.0,0.934766
1403.0,0.934767
1404.0,0.934768
1405.0,0.934769
1406.0,0.934771
1407.0,0.934772
1408.0,0.934773
1409.0,0.934774
1410.0,0.934775
1411.0,0.934776
1412.0,0.934777
1413.0,0.934778
1414.0,0.934779
1415.0,0.93478
1416.0,0.934781
1417.0,0.934782
1418.0,0.934783
1419.0,0.934784
1420.0,0.934785
1421.0,0.934786
1422.0,0.934787
1423.0,0.934788
1424.0,0.934789
1425.0,0.93479
1426.0,0.934791
1427.0,0.934792
1428.0,0.934793
1429.0,0.934794
1430.0,0.934795
